occupation_id,occupation_preferred_label,occupation_hidden_labels,occupation_description,isco_group_concept_type,isco_group_code,isco_preferred_label,isco_group_description,occupation_skill_relation_type,occupation_skill_skill_type,training_description,training_is_online,training_name,training_is_required,training_is_to_acquire
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1213,Policy and planning managers,"Policy and planning managers plan, organize, direct and coordinate policy advice and strategic planning activities within government or for non-government organizations and private sector agencies, or manage the activities of enterprises that provide policy and strategic planning services.
Tasks include - 
(a)  developing, implementing and monitoring strategic plans, programmes, policies, processes, systems and procedures to achieve goals, objectives and work standards; 
(b)  developing, directing, administering and participating in policy research and analysis;
(c)  coordinating the implementation of policies and practices; 
(d)  establishing activity measures and measurements of accountability;
(e)  planning and directing daily operations;
(f)  leading and managing the activities of policy development and strategic planning staff;
(g)  overseeing the selection, training and performance of staff; 
(h)  consulting with senior management and with managers of other departments;
(i)  representing the enterprise or organization in negotiations, and at conventions, seminars, public hearings and forums.
Examples of the occupations classified here:
-  Corporate planning manager
-  Policy manager
-  Strategic planning manager
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1219,Business services and administration managers not elsewhere classified,"This unit group covers business services and administration managers not classified elsewhere in Minor Group 121: Business Services and Administration Managers. For instance, the group includes occupations such as facilities manager, cleaning services manager and administrative services manager employed either as the manager of a department of a large enterprise and organization, or of an enterprise that provides such services to other enterprises and organizations.
In such cases tasks would include -
(a)  providing administrative, strategic planning and operational support, research and advice to senior management on matters such as the management of building facilities and administrative services;
(b)  developing and managing the organization",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,122,"Sales, marketing and development managers","Sales, marketing and development managers plan, organize, direct, control and coordinate the advertising, public relations, research and development, and sales and marketing activities of enterprises and organizations, or of enterprises that provide such services to other enterprises and organizations.
Tasks performed usually include: formulating and implementing policies and plans for advertising, public relations, product development, sales and marketing in consultation with other managers; directing the development of initiatives for new products or scientific research, marketing, public relations and advertising campaigns; determining and directing sales activities, product mix, customer service standards and merchandising methods and distribution policy; setting prices and credit arrangements; establishing and managing budgets and controlling expenditure to ensure the efficient use of resources; overseeing the selection, training and performance of staff; representing the enterprise or organization at conventions, trade exhibitions and other forums.
Occupations in this minor group are classified into the following unit groups:
1221 Sales and Marketing Managers
1222 Advertising and Public Relations Managers 
1223 Research and Development Managers
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1221,Sales and marketing managers,"Sales and marketing managers plan, direct and coordinate the sales and marketing activities of an enterprise or organization, or of enterprises that provide sales and marketing services to other enterprises and organizations.
Tasks include -
(a)  planning and organizing special sales and marketing programmes based on sales records and market assessments;
(b)  determining price lists, discount and delivery terms, sales promotion budgets, sales methods, special incentives and campaigns;
(c)  establishing and directing operational and administrative procedures related to sales and marketing activities;
(d)  leading and managing the activities of sales and marketing staff;
(e)  planning and directing daily operations; 
(f)  establishing and managing budgets and controlling expenditure to ensure the efficient use of resources;
(g)  overseeing the selection, training and performance of staff;
(h)  representing the enterprise or organization at sales and marketing conventions, trade exhibitions and other forums.
Examples of the occupations classified here:
-  Marketing manager
-  Sales manager
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1222,Advertising and public relations managers,"Advertising and public relations managers plan, direct and coordinate the advertising, public relations and public information activities of enterprises and organizations or of enterprises that provide related services to other enterprises and organizations.
Tasks include -
(a)  planning, directing and coordinating the advertising and public relations activities of an enterprise or organization;
(b)  negotiating advertising contracts with clients or with newspapers, radio and television stations, sports and cultural organizations and advertising agencies;
(c)  planning and managing information programmes to inform legislators, the mass media and the general public about the plans, accomplishments and points of view of the enterprise or organization;
(d)  leading and managing the activities of advertising and public relations staff;
(e)  establishing and managing budgets and controlling expenditure and ensuring the efficient use of resources;
(f)  establishing and directing operational and administrative procedures;
(g)  planning and directing daily operations;
(h)  overseeing the selection, training and performance of staff.
Examples of the occupations classified here:
-  Advertising manager
-  Public relations manager
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1223,Research and development managers,"Research and development managers plan, direct and coordinate the research and development activities of an enterprise or organization or of enterprises that provide related services to other enterprises and organizations.
Tasks include -
(a)   planning, directing and coordinating research and development activities, in-house or commissioned from external research organizations, to develop new or improved technical processes, products, knowledge, or utilization of materials;
(b)   planning the overall research and development programme of an enterprise or organization, specifying goals and budgetary requirements;
(c)   leading and managing the activities of research and development staff;
(d)   establishing and managing budgets, controlling expenditure and ensuring the efficient use of resources;
(e)   establishing and directing operational and administrative procedures;
(f)   planning and directing daily operations;
(g)  overseeing the selection, training and performance of staff;
(h)   representing the enterprise or organization at conventions, seminars and conferences.
Examples of the occupations classified here:
-  Product development manager
-  Research manager
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,13,Production and specialised services managers,"Production and specialized services managers plan, direct and coordinate the production of the goods and the provision of the specialized professional and technical services provided by an enterprise or organization, either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers.  They are responsible for manufacturing, mining, construction, logistics, information and communications technology operations for large-scale agricultural, forestry and fisheries operations, and for the provision of health, education, social welfare, banking, insurance and other professional and technical services. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.
Tasks performed by workers in this sub-major group usually include: planning details of activities in terms of output, services provided, quality, quantity, cost, timeliness and labour requirements; setting standards and objectives; controlling the operation of plant and of procedures; assuring quality of the goods produced and services provided; preparing tenders and contract bids; establishing and managing budgets, monitoring costs, and adjusting activities, procedures and resources to minimize costs; overseeing the acquisition and installation of new plant and equipment; coordinating the implementation of health and safety requirements; planning and directing daily operations; overseeing the selection, training and performance of staff; preparing, or arranging for the preparation of, reports, budgets and forecasts; representing the enterprise or organization in negotiations with other agencies, and at conventions, seminars, public hearings and forums.
Occupations in this sub-major group are classified into the following minor groups:
131 Production Managers in Agriculture, Forestry and Fisheries
132 Manufacturing, Mining, Construction and Distribution Managers
133 Information and Communications Technology Services Managers
134 Professional Services Managers
Note
Specialized qualifications and extensive experience relevant to one or more occupations classified in Major Group 2: Professionals, or Major Group 3: Technicians and Associate Professionals, are usually required.  Regional managers and other senior managers who coordinate and supervise the activities of subordinate managers who have a diverse range of functional responsibilities are included in Unit Group 1120:  Managing Directors and Chief Executives.
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,131,"Production managers in agriculture, forestry and fisheries","Production managers in agriculture, forestry and fisheries plan, direct and coordinate production in large-scale agricultural, horticultural, forestry aquaculture and fishery operations such as plantations, large ranches, collective farms and cooperatives, to grow and harvest crops, breed and raise livestock, fish and shellfish and to catch and harvest fish and other forms of aquatic life.
Tasks performed usually include: monitoring market activity and planning production to meet contract requirements and market demand; establishing and managing budgets, monitoring production output and costs, recording information such as farm and fisheries management practices, and preparing financial and operational reports; conferring with buyers to arrange for the sale of crops, catch and stock;  contracting with farmers, skippers or independent owners for production of produce and  management of production; planning the type, intensity and sequence of operations; purchasing machinery, equipment and supplies; identifying and controlling environmental toxins, weeds, pests and diseases; organizing operations such as maintaining buildings, water supply systems and equipment; overseeing the selection, training and performance of workers and contractors.
Occupations in this minor group are classified into the following unit groups:
1311 Agricultural and Forestry Production Managers
1312 Aquaculture and Fisheries Production Managers
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1311,Agricultural and forestry production managers,"Agricultural and forestry production managers plan, direct and coordinate production in large-scale agricultural, horticultural and forestry operations such as plantations, large ranches, collective farms and agricultural cooperatives to grow and harvest crops, and breed and raise livestock.
Tasks include -
(a) monitoring agricultural and forestry market activity and planning production to meet contract requirements and market demand;
(b) establishing and managing budgets, monitoring production output and costs, recording information such as farm management practices, and preparing financial and operational reports;
(c) conferring with buyers to arrange for the sale of crops and livestock;
(d) contracting with farmers or independent owners for production of crops and livestock, or for management of production;
(e) planning the type, intensity and sequence of farm operations (e.g. determining the best times for planting, spraying and harvesting);
(f) analysing soil to determine types and quantities of fertilizer required for maximum production;
(g) purchasing machinery, equipment and supplies such as tractors, seed, fertilizer and chemicals;
(h) identifying and controlling agricultural and forest environmental toxins, weeds, pests and diseases;
(i) organizing farming operations such as maintaining buildings, water supply systems and equipment;
(j) directing and coordinating activities such as planting, irrigation, chemical application, harvesting and grading; 
(k) inspecting plantations and fields to determine maturity dates of crops, or to estimate potential crop damage from weather;
 (l) overseeing the selection, training and performance of agricultural and forestry workers and contractors.
Examples of the occupations classified here:
-  Forestry manager
-  Plantation manager
-  Ranch manager
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1312,Aquaculture and fisheries production managers,"Aquaculture and fisheries production managers plan, direct and coordinate production in large-scale aquaculture and fishery operations to catch and harvest fish and shellfish, and to grow fish, shellfish or other forms of aquatic life as cash crops or for release into freshwater or saltwater.
Tasks include -
(a)  monitoring aquaculture and fishery market activity and planning production and fishing activities to meet contract requirements and market demand;
(b)  establishing and managing budgets, monitoring production output and costs, recording information such as fisheries management practices, and preparing financial and operational reports; 
(c)  conferring with buyers to arrange for the sale of produce and catches;
(d)  contracting with fishing skippers or owners of vessels and aquaculture farms for fishing and aquaculture operations, or for management of production;
(e)  conducting and organizing aquaculture or fishery stock examinations in order to identify diseases or parasites;
(f)  devising and coordinating activities to improve fish hatching and growth rates, and to prevent disease in hatcheries;
(g)  monitoring environments to maintain or improve conditions for aquatic life;
(h)  directing and monitoring trapping and spawning of fish, egg incubation and fry rearing, applying knowledge of management and fish culturing techniques;
(i)  coordinating the selection and maintenance of brood stock;
(j)  directing and monitoring the transfer of mature fish to lakes, ponds, streams or commercial tanks;
(k)  purchasing machinery, equipment and supplies such as vessels and nets;
(l)  organizing operations such as maintenance of ships, boats and equipment;
(m) overseeing the selection, training and performance of aquaculture or fishery workers and contractors.
Examples of the occupations classified here:
-  Aquaculture production manager
-  Fishing operations manager
-  Shore captain (fishing)
-  Trawler manager
Some related occupations classified elsewhere:
-  Fish farmer - 6221
-  Fish hatchery manager - 6221
-  Oyster farmer - 6221
-  Seafood farmer - 6221
-  Fishing vessel skipper (coastal waters) - 6222
-  Fishing master (deep sea) - 6223
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,132,"Manufacturing, mining, construction, and distribution managers","Manufacturing, mining, construction and distribution managers plan, organize and coordinate the manufacturing, mineral extraction, construction, supply, storage and transportation operations, either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers.
Tasks performed usually include: planning details of activities in terms of output quality and quantity, cost, timeliness and labour requirements; controlling the operation of plant and quality procedures through planning of maintenance, designation of operating hours and supply of equipment; preparing tenders and contract bids; establishing and managing budgets, monitoring production output and costs, and adjusting processes and resources to minimize costs; overseeing the acquisition and installation of new plant and equipment; controlling the preparation of production records and reports; coordinating the implementation of health and safety requirements; planning and directing daily operations; overseeing the selection, training and performance of staff.
Occupations in this minor group are classified into the following unit groups:
1321 Manufacturing Managers
1322 Mining Managers
1323 Construction Managers
1324 Supply, Distribution and Related Managers
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1321,Manufacturing managers,"Manufacturing managers plan, direct and coordinate activities concerned with the production of goods, the production and distribution of electricity, gas and water, and the collection, treatment and disposal of waste.  They may manage the production departments of large enterprises or be the managers of small manufacturing companies. 
Tasks include -
(a)  determining, implementing and monitoring production strategies, policies and plans; 
(b)  planning details of production activities in terms of output quality and quantity, cost, time available and labour requirements;
(c)  controlling the operation of production plant and quality procedures through planning of maintenance, designation of operating hours and supply of parts and tools;
(d)  establishing and managing budgets, monitoring production output and costs, and adjusting processes and resources to minimize costs;
(e)  consulting with and informing other managers about production matters;
(f)  overseeing the acquisition and installation of new plant and equipment; 
(g)  controlling the preparation of production records and reports;
(h)  coordinating the implementation of occupational health and safety requirements;
(i)   identifying business opportunities and determining products to be manufactured;
(j)   researching and implementing regulatory and statutory requirements affecting manufacturing operations and the environment;
(k)  overseeing the provision of quotations for the manufacture of specialized goods and establishing contracts with customers and suppliers;
(l)  overseeing the selection, training and performance of staff.
Examples of the occupations classified here:
-  Manufacturer
-  Manufacturing manager
-  Production and operations manager (manufacturing)
Some related occupations classified elsewhere:
-  Production supervisor (manufacturing) - 3122
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
1,fleet commander,"","Fleet commanders ensure that naval vessels are ready for inclusion in operations, and are maintained in compliance with rules and regulations. They also supervise naval personnel and are responsible for the operations of the naval service.",ISCOGroup,1322,Mining managers,"Mining managers plan, direct and coordinate the production activities of mining, quarrying and oil and gas extraction operations, either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers.
Tasks include -
(a)  conferring with other managers to set production quotas, plan extraction sites and develop policies for the removal of raw materials;
(b)  evaluating efficiency of production sites to determine adequacy of personnel, equipment and technologies used, and make changes to work schedules or equipment when necessary;
(c)  planning details of production activities in terms of output quality and quantity, cost, time available and labour requirements;
(d)  controlling the operation of plant and quality procedures through planning of maintenance, designation of operating hours and supply of equipment;
(e)  establishing and managing budgets, monitoring production output and costs, and adjusting processes and resources to minimize costs;
(f)  overseeing the acquisition and installation of new plant and equipment; 
(g)  controlling the preparation of production records and reports;
(h)  coordinating the implementation of health and safety requirements;
(i)  researching and implementing regulatory and statutory requirements affecting mineral extraction operations and the environment;
(j)  overseeing the selection, training and performance of staff.
Examples of the occupations classified here:
-  Mine manager
-  Production manager (mine)
-  Production manager (oil and gas extraction)
-  Production manager (quarry)
-  Quarry manager
Some related occupations classified elsewhere:
-  Mine deputy - 3121
-  Mine supervisor - 3121
-  Mine under-manager - 3121
-  Quarry supervisor - 3121
",optional,knowledge,,0,tłumaczenia poświadczone i specjalistyczne,1,0
